iteration,duration,loss,accuracy,start,game,winner
1,55.347,0.705702884583219,0.053647987251963423,[0 0],055445566226644330033332211114411665522777711887788882233774400886666338844224444770044857733555582006687660011761100767463450365313511512,-1
2,47.061,1.421524547639736,0.053647987251963423,[0 1],10022441144556622226655005588664477117777333388883322770033661188554488444433111122334466882211337766775044216,2
3,44.234,0.9402790579177633,0.5639867966764047,[0 2],200555588228855440033443388332244662211666677557777111133006611008844552277660044447744226655668877880255022,1
4,37.74,0.5955233911201775,0.5639867966764047,[0 3],300554466117744557733771155331100666644442222668822888855113322777700778877224400008800220166025,1
5,39.102,0.5723518453273262,0.5639867966764047,[0 4],4007711772244333322223388881188770088331100558866885533550022555566334444111144226622882204666608084,1
6,47.113,1.5340834995236459,0.5639867966764047,[0 5],500331111553333223377554400222277776611446622886688884488771166445522556666778811883344338800663300117720774444208,2
7,45.521,0.568120792854528,0.5639867966764047,[0 6],60044441111881144883311778866667744332233665500555522228877771100772277000088224422003300280015776633447735446645651,1
8,43.83,0.5621892989440911,0.5639867966764047,[0 7],70011773311550033557766552222663322114466444422885588884411330000554455551100881166777788772277112200660024775488366,1
10,55.456,1.539768066172835,0.5639867966764047,[1 0],011220044884422225555885566113344777733778866330066668877445511888833554444333322440055000033815533664466227722823700771520208605775766765,-1
11,44.297,1.5168071147121696,0.5639867966764047,[1 1],122443355332255441177447755222200330011666600778866888800665577663388227711008811887722661144228844045555667734844,2
12,44.885,0.5763955958635781,0.5639867966764047,[1 2],211005555330044222233337744777755440066116666558866888800332277225522664488118877882244336633113344662177335387115706011,1
13,36.02,0.5649776337587655,0.5639867966764047,[1 3],31155334444554400337700775511006677666622668877228888222233005522008855556655774411448844638,1
14,45.526,1.509354630115119,0.5639867966764047,[1 4],41122335522443333445577227755117766663300660000886688882288554422221166111133664400110033118844446322007711537,2
15,46.053,1.402807382413983,0.5631710740979626,[1 5],511005544006666444422555577770000881177333311886622338822447788332266880077111122772211446633775525336657448164302,2
16,38.601,1.1011787340097152,0.3823652160716318,[1 6],6118866882222110022445566330044334400553388555577007777447733226644666677888811551133336655883350331768480,2
17,43.275,0.6648483893996386,0.3823652160716318,[1 7],71122775522334433335555444422666611660066882288885566770044003300551144881133883311115588441188665577663366210,2
19,48.006,0.5773361124042377,0.3823652160716318,[2 0],000666622776633330088338822887777440044441177112255115555005588113344665544778800222233770033224433588856001144586,2
20,45.971,0.5629710408495415,0.3823652160716318,[2 1],122551100553300333322443344115544770077776655884466886644008888006633552277882288771111442200118722604455775555044,2
21,46.139,0.5578989153614105,0.3823652160716318,[2 2],26644446611000022888800115588554433663311335500775577778877112233442200555511770088227766773388330030448844014,2
22,53.725,0.5572691242964948,0.3823652160716318,[2 3],322113300111177772244770033441155550066664466008811888855775522883366884433553311442277882222551122004400771163776807448878644,2
23,37.63,0.5570245776102767,0.3823652160716318,[2 4],42255664411552266661177663355777700778888333300448811005511228844008800118877223377116655553366074,2
24,46.096,1.5452836976714572,0.3823652160716318,[2 5],5443322113300664400110033774466557766115522772288880088773388114455668844224411771166770000778866004533558855011,1
25,45.204,1.541818037580729,0.3823652160716318,[2 6],62277446644887788883344007700550033332255551111881144337766112200665533001100224455228866008844222233667750447777100,1
26,45.436,0.558139424735894,0.3823652160716318,[2 7],722446600770044330066773366113311441122555544888855887755221177776688001188110055334477886666556633883355003335174,2
27,39.158,1.5391406085974524,0.3823652160716318,[2 8],82255558800551166665577224455000044446644110033663322771133887700220066885566118844886622114433335533040,1
28,44.43,1.5306202467261163,0.3823652160716318,[3 0],033226622551100556611444400443355228866771177778877668888442200115533331111224411665588118855772277445644707,1
29,38.066,1.5052674914578879,0.3823652160716318,[3 1],13322882266886611664411777744337700440088550055225533662211445566006677883344227722223022465,1
30,38.536,1.4230963362890054,0.3823652160716318,[3 2],233444422888855553377772266440055770088006677666611221111001144883355445500227711663333881188215,1
31,45.981,0.643549715126047,0.3823652160716318,[3 3],3445511224400220033550011557777117744662266338866888855448877337722223300666600555522553366775581441133100,2
32,51.755,1.4130744578562355,0.38310505747998636,[3 4],433114455115544883300001188552288220022664477775577111166117766773366663377007744003322333388778811006600888866880466513,1
33,45.101,0.6325771957467367,0.3823652160716318,[3 5],53311222200005566661100668855888833221188446644774422557777334400771133880088660011662277224444117765226700278,2
35,54.011,1.2910576262996791,0.2435216451037675,[3 7],733006677224400004466221133448888226611771188005555885511552277663311110077554422220022557744556644778844412288114708665508377605387236866,-1
36,54.015,0.6445035855906591,0.3823652160716318,[3 8],8332222000088221122553355554455775522888811886655006611556666447777441177667711004422440077001166887788443238044466026,2
37,44.793,1.3475416836541443,0.38329476040520544,[4 0],0442200882233221188333388555533115577446666556677001177668800771122228888663300225588443355227777864062426340537,1
38,37.941,1.0773526737141712,0.5651060439351975,[4 1],1440000335555666677553333110022442211772266885588778866228888222255446655220011113388443304551155744,1
39,51.0,1.0984948159554742,0.3830481466024206,[4 2],244002233005555333311551122110066336666774477558877888822008811446688444433441166117766554455222255001133228722760,2
41,44.534,1.1180231368200517,0.1185643282619418,[4 4],4112222000055331133228855554400446600668833661188776677772277335588111155226633334422447700338866443377888802330452521488284,-1
42,50.84,0.7115663188806732,0.3823652160716318,[4 5],5552211226644665577007788886600224411773300113333885588442233776666883311116611882222556622880044881100550063447442754,2
43,51.827,1.1839256944828231,0.24835906969685473,[4 6],6665511114400115577775522227722006644886633330033888800228844113344442255668811221166778855550055445622443600007737447700482,1
44,41.758,1.1054420035581536,0.08984330538376901,[4 7],74411116677665566331133555522332200228844008877880000554422112222446611448811006600334433668866662388244,1
45,45.49,1.0986122886681087,0.08984330538376901,[4 8],8440066228800776666112211771100887744552255553333663300331111883344116600004477882222002277554422486355873377205,1
46,44.705,1.0986331501286777,0.0887619987100201,[5 0],0551100444466002266111144882211332233558866883300777755776633888855664477227788441166662244228811222200665404345876780,-1
47,46.739,1.0986173253876428,0.08883787988010775,[5 1],15533668866444411883311220055000033448822226666778877775577004433332211335544661144555588552733001100776177211,2
48,40.905,0.7739408770333003,0.3823652160716318,[5 2],2556666000022770011331111776644773333224455444433446622223300772288221188778888110044220088003364005411526,2
49,46.294,0.5654164254166546,0.3823652160716318,[5 3],355112266110022006633330055221144664444883377668877778844775500338822880088662222771166555577445544115562443344018,2
50,44.143,0.5745219379715708,0.3823652160716318,[5 4],455004411661111006666221122442233336688007733887788557722005588448833003311776633771133227777001147556600002222834,2
51,52.895,0.5585313793123716,0.3823652160716318,[5 5],52233334400441133880011221111662266886644777755007788336600008855772244558844887700554466663311444255667747661188115322228822006653530,2
52,41.608,0.5538789169131041,0.3823652160716318,[5 6],65522221100661122777744778888228844880044116677330033335544553366007700111144223388332244334444663318662266466,2
53,47.468,0.5657294788242261,0.3823652160716318,[5 7],75500771111440044112277225522448811888866113333776666558833006633556677336688778800884433110033220022338426400,2
54,46.78,0.5538697836979677,0.3823652160716318,[5 8],888003355223333660000221155448844112244661133772277666677447755118833006633882200881100550011778855553311114455673,2
57,41.119,1.5497009070799306,0.3823652160716318,[6 2],266882288444466778877111122115511773355333344555500440000330022006655443322441133774477558888638081448011607,1
58,41.544,1.5435991609254123,0.3823652160716318,[6 3],3661133118833446688885544551155224477778822227711000077002266442211774488003388776666773355772066286,1
59,40.64,1.547110201661281,0.3823652160716318,[6 4],4667733221133441122777722331166555544551100006688003377882288887766335577111144007744770088336422630,1
60,53.076,1.546795208908082,0.3823652160716318,[6 5],566003300113355111144002255224466883322884488227755777766773388115555442266662222000066112231007744770055363867858210872710450,-1
61,47.208,0.554269046744722,0.3823652160716318,[6 6],65533338855776600440088777722002222883344554444111133117788114488661155223366224422112255550011005511668888226633003320700,2
62,43.489,0.5543249454883058,0.3823652160716318,[6 7],77733334444664455115555660044222277880088220033885577111188331122666688448888113300223355001100552211443327240,2
63,37.709,1.5479130559816823,0.3823652160716318,[6 8],888116611448855444400001155667777557722002222883322333377663355886666226644118877443344660066584,1
64,37.424,1.5483151625284175,0.3823652160716318,[7 0],077222255335544111133110000885577883344224466226666888877665511664433774477550022005588223277128,1
65,51.696,0.5538544559571341,0.3823652160716318,[7 1],111006666442277444433663300772200555533552211881155888822884488777755776622440022337733332255113311226677000011778500354600861,2
66,48.3,1.5468247683223495,0.3823652160716318,[7 2],277552255001100554477114422443333113300666655338866888844112288770033226600446611882222117766448855115588016677445566323,1
67,36.17,0.5580967572627583,0.3823652160716318,[7 3],333886677116611883322662211777722778877443300440055003344442222446655664455557755882288088,2
68,48.379,0.5532369005936283,0.3823652160716318,[7 4],444111177881100882288667700224466220066113344556655333355888800551188555577554422223311448877336644337766330833826,2
69,55.013,0.5535495100506171,0.3823652160716318,[7 5],5553300336600446644777744006666223322225511448888111133118800558822773377667700221166554422441100115522885572008876333566117076884,2
70,42.824,0.5532016467260991,0.3823652160716318,[7 6],67722220055000066555522117711444411664433330088338888554422661122777755110011557788118822448844002288773322535,2
71,45.198,1.5492597817466178,0.3823652160716318,[7 7],766335511114455007700440066661133334477888800887733228855444433883311553377442233662211224488668822665588416,1
72,49.048,0.5528107719245282,0.3823652160716318,[7 8],8882222770022118800557755001155114400338866336666444433334466112255330066773355447744883311008855552200058878441133756,2
73,46.92,0.5577710781835278,0.3823652160716318,[8 0],088440044117711446600778866115566555522772255333322223377443311006688885577775588773344221133551122663306444477636,2
74,43.315,0.552759496470856,0.3823652160716318,[8 1],1115555883355661100332266660022882200776677337744554444224411772255001144664433663333006622223311268888600,2
75,45.376,1.5454576159892508,0.3823652160716318,[8 2],28877775555114455773311222266883333661155442200004400664411008866337788002244446677443355225533223344721111727621866,1
76,48.26,1.5328539041383542,0.3823652160716318,[8 3],33311440077224488226611660011006677773322884477555566551133000044446666445577662222554422115500227788668811112855241,1
77,58.432,1.5327417937447987,0.3823652160716318,[8 4],488666644660000883311335544551155330022220077227777112211776633885500118888774477556688058811444411661111034436773234228405724522555266265,-1
78,40.659,0.5670014189098652,0.3823652160716318,[8 5],58800006655111144553366338844446611220022442277773377008822557711331166443333007766668833552211062,2
79,50.952,0.561449662638204,0.3823652160716318,[8 6],68844440000777700664433337755883355663311442255111122226611885500227788223322003300553344774466221133665555445526001100866,2
80,46.577,1.5480952223258662,0.3823652160716318,[8 7],77700008833002222771122115511666633224400334444555566884433778866111100114477335544220055338888228744664410662077248,1
81,41.296,1.5430052823982694,0.3823652160716318,[8 8],8553355000088220077773344227722444455551144661133666633111166002288778866222255771155221100558477648,1
82,40.502,1.2477331771222686,0.3622187654133627,[0 0],05511115588330033224422556644118866668844773377227700771100880044555522223388114433116622685,1
83,42.494,0.6154106639400394,0.3823652160716318,[0 1],10055113333222233881144225588885544004433772266887766667700774455662244116611115533006600335500002733117777512,2
84,45.176,1.527978899684645,0.3823652160716318,[0 2],2003388228833335500116688113377117766665555227744445544004411226677884422332255663311551111887722110000660055714,1
85,38.78,1.4717962340356363,0.3784193952270744,[0 3],300446633664444771111776677222211228888008855335555448811002277440055226611551166225588223322065,1
86,40.051,0.8819514629422457,0.5527943240884774,[0 4],4005544551166556622112222001133663388448833227711777788550033335555887755228866114444772266774422564,1
87,42.509,0.5852742707837784,0.5629434305876997,[0 5],500225533883322885511110077337788117722116655444422666600448844770088222244663311223366227711468877775577620,1
88,36.215,0.5717379489688006,0.5639488560913609,[0 6],6007766773300883333116611778811443344448822112222558855554422338844111188770044002200352,1
89,44.001,1.4077667062337371,0.5134309671055127,[0 7],7004488227744442200885522111155446655667733331166883322337766005500117755114433553388772244113366330811084,2
90,48.58,0.9160060725167462,0.06045832226732936,[0 8],8006611116677771133773344664488883300441122775566552255332244005588221177444455000033110011442222885266807633335602038366223,-1
91,44.396,0.6171411625411481,0.34899647152559093,[1 0],00055334433554411117700777788558888227722226644666633112200884455668800116611551144771183002244221133667744450,2
92,47.677,0.7942153989024501,0.054425769245361764,[1 1],100220055225511333355888833444488224466668877667700774411556644772266554455550000662222112233114433008800338841881178660016304,-1
93,39.303,1.4045046328526567,0.1237242478279015,[1 2],2113344337722770011004400557766446633556622885588881188448822008877116611444422331110222266006668045,1
94,41.135,1.0461412612453957,0.3786090981522935,[1 3],3114433777766446666115577225522660000442233005544888800881188220066333366224411007755332222774455550022871,2
95,44.297,1.0722143005530913,0.5463444246310278,[1 4],444662266117788440022007777330011333388668855225555336677008811664455888877227711006633111122337744880222124,1
96,45.608,0.8882158989745151,0.3823652160716318,[1 5],511005522008822227777331133335577888800448844447766662266556600330011443344668877224411771188338811112533775500670,2
97,41.751,0.8120754526634144,0.5393254163979209,[1 6],666883333001111222266000044338844224411558855667755777722114477007766227733774466440088003355553340225522328,1
