iteration,duration,loss,accuracy,start,game,winner
1,96.194,1.0317784236545697,0.5639867966764047,[0, 0],022441166771155446688887733553322886644225511338855558800881122775566550044772222662234443744883100118214006600557700352,1
2,95.315,1.1532135541677981,0.5639867966764047,[0, 1],133885566552277223344884411770066667711004433225588221166002244661144445555336644777755776688663311887788862055103,2
3,99.825,0.9763480239089442,0.5639867966764047,[0, 2],21133448877776655220044668811773355551122883366440033222244227755884444771188666677885577005566115541662500774888000067282100811,1
4,77.773,0.852222512908666,0.5639867966764047,[0, 3],3665511887711227744554422338866778833000066882200117700556644441155552244332266008800728811331111640,1
5,91.406,0.7500683044110643,0.5639867966764047,[0, 4],4221166772255443300883377881188665555113344007766446622888855887711110055332222002277552243115573666633556033384,1
6,95.267,0.6566242564851281,0.5639867966764047,[0, 5],5224488661177882200336633554477113388440066557722111166441188115588002277444455551100443377553333112255087733046702334265622,1
7,83.04,0.6438381658330448,0.5639867966764047,[0, 6],688227744550011554433661133772288880022551166773344117755884400442233881111446644426622005566330033331100753,1
8,96.867,1.4670940741196627,0.5639867966764047,[0, 7],7221144558800886611554433667733225522883311113355553344220022333300001122441100337700666644665566340041878755174717677570550,-1
9,80.158,1.4331179025979721,0.5639867966764047,[0, 8],84466112222775533331166885500774433447711886622005566001133224411000044228833772233687700225400344488006458126,2
10,99.071,1.3903417317077194,0.5639867966764047,[1, 0],0335544225588332266887766007744115533881122006677550022118888223333447733777722770055228800008855662222446614886666536,2
11,80.819,0.7279559850082908,0.5639867966764047,[1, 1],1442288003377556655006633884477441122552266220088554433440011882211667722448811004466886663000443176,1
12,96.687,0.6463010035899148,0.5639867966764047,[1, 2],23388664400771133552288775544660055883322117777337700884433000022551166662277880066772222004688111155553311003333461182657245650,1
13,100.747,0.6209681260651982,0.5639867966764047,[1, 3],3442277558811668822335500774444006677332255110088664466114455554488557777887722883333611122220022447700331844330044152210571,1
14,83.594,0.6189152981957581,0.5639867966764047,[1, 4],488660022778844553311226655773300336677225500118833224466664422221155441111661177668855662555175524440055843,1
15,98.549,1.4848064264743157,0.5639867966764047,[1, 5],5222277883333445544661166008800776622558866442200002211001122444477006633004400335566667733771144336655338514841680550727455577775,-1
16,107.245,1.476768910376481,0.5639867966764047,[1, 6],6338844112244883355227766007700225533001100558866774400882288887788115566551177223333442222114466226665550448057201854133732363111,-1
